ID,COMMENT,CLASSE
1,"In LA they’re not allowed to give out utensils at food places unless you ask…… if they can make laws for us, why not them?",scrollTriggerFade section UNDEFINED
2,"My energy company (SDG&E) called me, a literal nobody, to tell me to REDUCE MY USAGE during peak hours to help “protect” the environment",scrollTriggerFade section EVERYDAY
3,Okay so flying cars now for the 1%..,scrollTriggerFade section UNDEFINED
4,That 3min flight is damming😬,scrollTriggerFade section ROUTINE
5,“Never tell me to use a paper straw again” thank goodness I’m not alone this video made my day,scrollTriggerFade section EVERYDAY
6,They do this and then tell us people don’t want to work anymore 🤷🏻‍♀️,scrollTriggerFade section RICH
7,Now do this in the pov of the wife of the aircraft mechanic that fixes private aircraft 😂,scrollTriggerFade section ROUTINE
8,We forget our reusable bag? Gotta spend a dollar to buy another. But they don’t pay extra for this. Consequences are only for lower classes.🤷🏾‍♀️,scrollTriggerFade section UNDEFINED
9,Tax the Rich,scrollTriggerFade section RICH
10,taking a 3 minute private jet flight to avoid a car ride but we all have the same hours in the day right,scrollTriggerFade section UNDEFINED
11,People should also know that Jet fuel contains lead as well. So they’re putting more lead in the air,scrollTriggerFade section UNDEFINED
12,THIS THIS THIS don't wanna hear about our cars and straws until personal jets and corporations are prevented from dumping. regulate the rich then eat,scrollTriggerFade section UNDEFINED
13,then they post a story saying how bad climate change is 😩,scrollTriggerFade section POLLUTION
14,The turtles 🐢,scrollTriggerFade section POLLUTION
15,"NEVER talk to me about my occasional straw use, pls ✋🏽",scrollTriggerFade section EVERYDAY
16,carbon tax should be calculated on a sliding scale so these mega rich are charged enough for them to care,scrollTriggerFade section UNDEFINED
17,"I encourage people to use metal straws to save the sea turtles, but I didn’t say how to use them 😈",scrollTriggerFade section UNDEFINED
18,Imagine not even finishing a song and the flight is over.,scrollTriggerFade section ROUTINE
19,Private Plane rides should have a min travel distance by law,scrollTriggerFade section UNDEFINED
20,three. minute. flight.,scrollTriggerFade section UNDEFINED
21,Crazy how they use 20 tons of CO2 emissions for a 1 hr plan ride. I’m done recycling lol….,scrollTriggerFade section UNDEFINED
22,"Rules for thee, not me",scrollTriggerFade section RICH
23,We are letting them make too much money how they taking a jet to the corner store,scrollTriggerFade section RICH
24,“What about the turtles” 😂,scrollTriggerFade section POLLUTION
25,That’s literally like a 35 minute drive,scrollTriggerFade section CELEBRITIES
26,it’s exhausting doing all that i can to be ‘eco-friendly’ & seeing how reckless celebrities are,scrollTriggerFade section CELEBRITIES
27,Let’s also mention all of the mansions going over their water limit…by 200-300%,scrollTriggerFade section EVERYDAY
28,And just one way of that flight is 1 ton of carbon. 2 tons of carbon for a round trip.,scrollTriggerFade section UNDEFINED
29,Jet 🛩 is probably hangared at one airport and picks up the celebrity at their closest airport on the other side of town.,scrollTriggerFade section UNDEFINED
30,commenting for engagement so more people see this 😭,scrollTriggerFade section RICH
31,I’m buying a whole pallet of plastic straws,scrollTriggerFade section EVERYDAY
32,yall never driven in LA... I'd love a flying car to avoid the traffic lol,scrollTriggerFade section UNDEFINED
33,Where Elon Musk flying tho? 👀,scrollTriggerFade section UNDEFINED
34,Ok but I would too with that kind of money,scrollTriggerFade section RICH
35,Excuse me..Camarillo/the 805 is NOT LA…😂 They make her makeup in Oxnard,scrollTriggerFade section UNDEFINED
36,Its crazy how weve been saying consumers arent the issue is the rich and manufacturing companies but now everyone’s listening,scrollTriggerFade section RICH
37,The real question is what the hell is she doing in Camarillo 😂 it’s just farms hahaha,scrollTriggerFade section CELEBRITIES
38,we should just abolish being rich. at pain of...you know,scrollTriggerFade section RICH
39,The sprinklers going so they have the only green yards while other folks are taking short showers to conserve water is also pretty sketchy,scrollTriggerFade section UNDEFINED
40,Kobe Bryant did this too to save time 😿,scrollTriggerFade section CELEBRITIES
41,"at least in the last one he’s traveling the world, kylie taking a daily flight from LA to LA is crazy",scrollTriggerFade section UNDEFINED
42,In actuality that’s about a 45 minute drive😂😂😂😂😂😂😂😂😂😂😂,scrollTriggerFade section CELEBRITIES
43,she isn't taking a 3 minute flight they are repositioning the aircraft from where they store it/park it to where they are departing from,scrollTriggerFade section UNDEFINED
44,I don’t think Floyd Mayweather is telling us to recycle anything…,scrollTriggerFade section EVERYDAY
45,One time I accidentally put the compost bag in the landfill garbage and I still think about that 😳,scrollTriggerFade section EVERYDAY
46,i heard LA traffic was bad but like….is it THAT bad?,scrollTriggerFade section EVERYDAY
47,Rules for THEE not for MEEE,scrollTriggerFade section RICH
48,"dude y'all see that kourtney and Travis Barker used like 200% over the limit of water during the horrible drought CA is in, EAT THE RICH",scrollTriggerFade section UNDEFINED
49,I’m guessing a 10 min plane ride is worse than a 20 min car ride. I don’t know the science behind it,scrollTriggerFade section UNDEFINED
50,The turtles are screwed 😂,scrollTriggerFade section POLLUTION
51,"It’s usually a repo flight, either for maintenance or because it’s cheaper to park at an other airport",scrollTriggerFade section ROUTINE
52,They do this and then they greens wash all their brands,scrollTriggerFade section RICH
53,"One airport is international, the other is not…",scrollTriggerFade section ROUTINE
54,It gets worse when you realize jets still use leaded fuel,scrollTriggerFade section ROUTINE
55,You know there are entire neighborhoods built with runways in the middle for ppl to take off from their backyard,scrollTriggerFade section RICH
56,And to think they barely pay taxes too,scrollTriggerFade section RICH
57,The short trips could be for maintenance or something,scrollTriggerFade section ROUTINE
58,there’s an airport in cam ? LMAO,scrollTriggerFade section UNDEFINED
59,Time is money friend,scrollTriggerFade section RICH
